Commodity,Code,NonComm Long,NonComm Short,NonComm Net
Corn,CORN,"488,759","154,002","334,757"
Soybeans,SOYBEANS,"292,633","64,787","227,846"
Wheat,WHEAT,"145,000","154,415","-9,415"
Soybean Oil,SOYBEAN OIL,"186,950","52,393","134,557"
Soybean Meal,SOYBEAN MEAL,"175,060","54,866","120,194"
Oats,OATS,0,0,0
Rice,RICE,"2,588","5,920","-3,332"
Crude Oil,CRUDE OIL,"80,761","125,763","-45,002"
Natural Gas,NATURAL GAS,0,0,0
Gold,GOLD,"207,602","44,400","163,202"
Silver,SILVER,"33,463","9,559","23,904"
Copper,COPPER,"71,107","31,003","40,104"
Platinum,PLATINUM,"26,303","9,966","16,337"
Palladium,PALLADIUM,"6,835","7,885","-1,050"
Coffee,COFFEE,"51,593","26,537","25,056"
Sugar,SUGAR,"192,731","257,848","-65,117"
Cocoa,COCOA,"42,906","64,507","-21,601"
Cotton,COTTON,"129,730","81,343","48,387"
Orange Juice,ORANGE JUICE,"3,931","1,999","1,932"
Live Cattle,LIVE CATTLE,"145,655","53,395","92,260"
Lean Hogs,LEAN HOGS,"120,667","76,956","43,711"
Feeder Cattle,FEEDER CATTLE,"31,692","20,747","10,945"
Euro FX,EURO FX,"200,168","199,661",507
British Pound,BRITISH POUND,"51,304","103,969","-52,665"
Japanese Yen,JAPANESE YEN,"95,356","168,228","-72,872"
Swiss Franc,SWISS FRANC,"9,315","39,186","-29,871"
Australian Dollar,AUSTRALIAN DOLLAR,"141,775","60,269","81,506"
Canadian Dollar,CANADIAN DOLLAR,"56,421","89,105","-32,684"
Mexican Peso,MEXICAN PESO,"94,183","36,499","57,684"
S&P 500,S&P 500,"239,619","278,406","-38,787"
Nasdaq 100,NASDAQ-100,"76,502","57,031","19,471"
Dow Jones,DOW JONES,"10,270","4,847","5,423"
Russell 2000,RUSSELL,"65,925","83,787","-17,862"
10-Year T-Note,UST 10Y NOTE,"626,486","1,410,549","-784,063"
5-Year T-Note,UST 5Y NOTE,"651,244","2,238,084","-1,586,840"
2-Year T-Note,UST 2Y NOTE,"565,540","2,202,864","-1,637,324"
30-Year T-Bond,UST BOND,"214,537","246,170","-31,633"
